"filename", "language", "Go Checksum File", "Go", "Go Template File", "pip requirements", "Go Module File", "comment", "blank", "total"
"/home/mini-k8s/pkg/kubeproxy/proxy_test.go", "Go", 0, 42, 0, 0, 0, 0, 6, 48
"/home/mini-k8s/pkg/kubescheduler/doc.go", "Go", 0, 1, 0, 0, 0, 0, 1, 2
"/home/mini-k8s/pkg/kubescheduler/filter/configfilter.go", "Go", 0, 210, 0, 0, 0, 0, 29, 239
"/home/mini-k8s/pkg/kubescheduler/filter/configfilter_test.go", "Go", 0, 80, 0, 0, 0, 0, 26, 106
"/home/mini-k8s/pkg/kubescheduler/filter/templatefilter.go", "Go", 0, 9, 0, 0, 0, 0, 3, 12
"/home/mini-k8s/pkg/kubescheduler/policy/lrscheduler.go", "Go", 0, 54, 0, 0, 0, 0, 9, 63
"/home/mini-k8s/pkg/kubescheduler/policy/lrscheduler_test.go", "Go", 0, 41, 0, 0, 0, 0, 9, 50
"/home/mini-k8s/pkg/kubescheduler/policy/resourcescheduler.go", "Go", 0, 60, 0, 0, 0, 0, 11, 71
"/home/mini-k8s/pkg/kubescheduler/policy/resourcescheduler_test.go", "Go", 0, 46, 0, 0, 0, 0, 13, 59
"/home/mini-k8s/pkg/kubescheduler/policy/templatescheduler.go", "Go", 0, 16, 0, 0, 0, 0, 6, 22
"/home/mini-k8s/pkg/kubescheduler/run.go", "Go", 0, 104, 0, 0, 0, 0, 20, 124
"/home/mini-k8s/pkg/kubescheduler/testutils/builder.go", "Go", 0, 107, 0, 0, 0, 0, 5, 112
"/home/mini-k8s/pkg/serverless/activator/deploy.go", "Go", 0, 247, 0, 0, 0, 0, 35, 282
"/home/mini-k8s/pkg/serverless/activator/deploy_test.go", "Go", 0, 26, 0, 0, 0, 0, 5, 31
"/home/mini-k8s/pkg/serverless/autoscaler/metric.go", "Go", 0, 97, 0, 0, 0, 0, 14, 111
"/home/mini-k8s/pkg/serverless/autoscaler/record.go", "Go", 0, 33, 0, 0, 0, 0, 14, 47
"/home/mini-k8s/pkg/serverless/eventfilter/functionwatcher.go", "Go", 0, 128, 0, 0, 0, 0, 27, 155
"/home/mini-k8s/pkg/serverless/function/image.go", "Go", 0, 94, 0, 0, 0, 0, 17, 111
"/home/mini-k8s/pkg/serverless/imagedata/requirements.txt", "pip requirements", 0, 0, 0, 1, 0, 0, 1, 2
"/home/mini-k8s/pkg/serverless/run.go", "Go", 0, 9, 0, 0, 0, 0, 2, 11
"/home/mini-k8s/utils/client.go", "Go", 0, 116, 0, 0, 0, 0, 12, 128
"/home/mini-k8s/utils/config.go", "Go", 0, 12, 0, 0, 0, 0, 5, 17
"/home/mini-k8s/utils/http.go", "Go", 0, 53, 0, 0, 0, 0, 10, 63
"/home/mini-k8s/utils/rand.go", "Go", 0, 88, 0, 0, 0, 0, 13, 101
"/home/mini-k8s/utils/utils.go", "Go", 0, 18, 0, 0, 0, 0, 9, 27
"Total", "-", 1188, 8621, 14, 1, 95, 0, 1381, 11300
