"filename", "language", "Go Checksum File", "Go", "Go Module File", "pip requirements", "Go Template File", "comment", "blank", "total"
"/home/mini-k8s/pkg/kubeproxy/proxy_test.go", "Go", 0, 42, 0, 0, 0, 0, 6, 48
"/home/mini-k8s/pkg/kubescheduler/doc.go", "Go", 0, 1, 0, 0, 0, 0, 1, 2
"/home/mini-k8s/pkg/kubescheduler/filter/configfilter.go", "Go", 0, 177, 0, 0, 0, 0, 24, 201
"/home/mini-k8s/pkg/kubescheduler/filter/configfilter_test.go", "Go", 0, 80, 0, 0, 0, 0, 26, 106
"/home/mini-k8s/pkg/kubescheduler/filter/templatefilter.go", "Go", 0, 9, 0, 0, 0, 0, 3, 12
"/home/mini-k8s/pkg/kubescheduler/policy/lrscheduler.go", "Go", 0, 54, 0, 0, 0, 0, 9, 63
"/home/mini-k8s/pkg/kubescheduler/policy/lrscheduler_test.go", "Go", 0, 41, 0, 0, 0, 0, 9, 50
"/home/mini-k8s/pkg/kubescheduler/policy/resourcescheduler.go", "Go", 0, 61, 0, 0, 0, 0, 12, 73
"/home/mini-k8s/pkg/kubescheduler/policy/resourcescheduler_test.go", "Go", 0, 46, 0, 0, 0, 0, 13, 59
"/home/mini-k8s/pkg/kubescheduler/policy/templatescheduler.go", "Go", 0, 16, 0, 0, 0, 0, 6, 22
"/home/mini-k8s/pkg/kubescheduler/run.go", "Go", 0, 111, 0, 0, 0, 0, 20, 131
"/home/mini-k8s/pkg/kubescheduler/testutils/builder.go", "Go", 0, 107, 0, 0, 0, 0, 5, 112
"/home/mini-k8s/pkg/serverless/activator/deploy.go", "Go", 0, 314, 0, 0, 0, 0, 37, 351
"/home/mini-k8s/pkg/serverless/activator/deploy_test.go", "Go", 0, 26, 0, 0, 0, 0, 9, 35
"/home/mini-k8s/pkg/serverless/autoscaler/metric.go", "Go", 0, 101, 0, 0, 0, 0, 14, 115
"/home/mini-k8s/pkg/serverless/autoscaler/record.go", "Go", 0, 33, 0, 0, 0, 0, 14, 47
"/home/mini-k8s/pkg/serverless/eventfilter/functionwatcher.go", "Go", 0, 140, 0, 0, 0, 0, 19, 159
"/home/mini-k8s/pkg/serverless/eventfilter/workflowwatcher.go", "Go", 0, 65, 0, 0, 0, 0, 9, 74
"/home/mini-k8s/pkg/serverless/function/image.go", "Go", 0, 117, 0, 0, 0, 0, 23, 140
"/home/mini-k8s/pkg/serverless/function/image_test.go", "Go", 0, 29, 0, 0, 0, 0, 8, 37
"/home/mini-k8s/pkg/serverless/imagedata/requirements.txt", "pip requirements", 0, 0, 0, 1, 0, 0, 1, 2
"/home/mini-k8s/pkg/serverless/run.go", "Go", 0, 10, 0, 0, 0, 0, 3, 13
"/home/mini-k8s/pkg/serverless/workflow/workflowexecutor.go", "Go", 0, 229, 0, 0, 0, 0, 38, 267
"/home/mini-k8s/pkg/serverless/workflow/workflowexecutor_test.go", "Go", 0, 259, 0, 0, 0, 0, 27, 286
"/home/mini-k8s/utils/client.go", "Go", 0, 140, 0, 0, 0, 0, 19, 159
"/home/mini-k8s/utils/http.go", "Go", 0, 53, 0, 0, 0, 0, 11, 64
"/home/mini-k8s/utils/rand.go", "Go", 0, 88, 0, 0, 0, 0, 13, 101
"/home/mini-k8s/utils/resourceutils/unit.go", "Go", 0, 66, 0, 0, 0, 0, 15, 81
"/home/mini-k8s/utils/resourceutils/unit_test.go", "Go", 0, 26, 0, 0, 0, 0, 6, 32
"/home/mini-k8s/utils/utils.go", "Go", 0, 18, 0, 0, 0, 0, 9, 27
"Total", "-", 684, 11158, 96, 1, 14, 0, 1728, 13681
